source,target
0,16
1,18
2,20
3,23
4,25
5,27
6,29
7,31
8,33
8,35
35,36
1,37
36,38
37,38
38,39
0,40
8,41
41,42
40,43
42,43
43,44
3,44
4,44
5,44
6,44
7,44
8,45
45,46
46,47
8,47
10,51
10,53
53,54
54,55
10,56
56,57
9,58
57,58
58,59
10,61
61,62
62,63
10,63
1,66
8,67
66,68
67,68
68,69
11,69
12,71
12,73
11,74
73,75
74,75
75,76
0,77
8,78
12,79
78,80
79,80
80,81
77,82
81,82
82,83
12,84
84,85
9,86
85,86
83,87
86,87
12,89
89,90
90,91
12,91
11,93
93,94
9,95
94,95
95,96
1,98
98,99
99,100
100,101
13,101
11,103
103,104
104,105
105,106
106,107
106,108
108,109
14,109
14,111
111,112
112,113
15,113
13,114
114,115
115,116
116,117
15,118
118,119
119,120
9,121
120,121
117,122
121,122
13,123
123,124
124,125
125,126
15,127
127,128
128,129
9,130
129,130
126,131
130,131
13,132
132,133
133,134
134,135
15,136
136,137
137,138
9,139
138,139
135,140
139,140
13,141
141,142
142,143
143,144
15,145
145,146
146,147
9,148
147,148
144,149
148,149
13,150
150,151
151,152
152,153
15,154
154,155
155,156
9,157
156,157
153,158
157,158
13,159
159,160
160,161
161,162
15,163
163,164
164,165
9,166
165,166
162,167
166,167
13,168
168,169
169,170
170,171
15,172
172,173
173,174
9,175
174,175
171,176
175,176
13,177
177,178
178,179
15,180
180,181
181,182
9,183
182,183
179,184
183,184
9,185
185,186
186,187
3,187
4,187
5,187
6,187
7,187
14,188
188,189
189,190
9,191
191,192
192,193
3,193
4,193
5,193
6,193
7,193
2,195
195,196
3,197
196,198
197,198
2,199
199,200
4,201
200,202
201,202
2,203
203,204
5,205
204,206
205,206
2,207
207,208
6,209
208,210
209,210
2,211
211,212
7,213
212,214
213,214
